[ 2023-07-22 19:26:37,912 ] 16 root - INFO - Connecting to a Database
[ 2023-07-22 19:27:06,213 ] 24 root - INFO - Successfully connected
[ 2023-07-22 19:27:06,213 ] 33 root - INFO - Reading the Train data from the database
[ 2023-07-22 19:27:19,837 ] 38 root - INFO - Reading the Train data successful
[ 2023-07-22 19:27:19,852 ] 47 root - INFO - Reading the test data from the database
[ 2023-07-22 19:27:21,084 ] 52 root - INFO - Reading the test data successful
[ 2023-07-22 19:27:21,288 ] 22 root - INFO - Started data transformation for Train Data
[ 2023-07-22 19:27:21,288 ] 24 root - INFO - Started reading the train data
[ 2023-07-22 19:27:21,975 ] 27 root - INFO - Reading the train data completed
[ 2023-07-22 19:27:22,402 ] 34 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-22 19:27:22,871 ] 43 root - INFO - Completed filling the null values
[ 2023-07-22 19:27:22,871 ] 45 root - INFO - Started filling null values of Outlet size
[ 2023-07-22 19:27:22,887 ] 48 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-22 19:27:22,887 ] 53 root - INFO - Started replacing the values of Item fat content
[ 2023-07-22 19:27:23,295 ] 59 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-22 19:27:23,295 ] 65 root - INFO - Applying label encoding to Item type and Outlet identifier
[ 2023-07-22 19:27:23,311 ] 70 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:23,311 ] 70 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:23,311 ] 81 root - INFO - Started Label encoding to Item fat content
[ 2023-07-22 19:27:23,311 ] 84 root - INFO - Label encoding to Item fat content completed
[ 2023-07-22 19:27:23,311 ] 89 root - INFO - Started Label encoding to outlet size
[ 2023-07-22 19:27:23,327 ] 92 root - INFO - Label encoding to outlet size completed
[ 2023-07-22 19:27:23,327 ] 97 root - INFO - Started Label encoding to outlet location type
[ 2023-07-22 19:27:23,327 ] 100 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-22 19:27:23,327 ] 105 root - INFO - Started Label encoding to outlet type
[ 2023-07-22 19:27:23,342 ] 108 root - INFO - Label encoding to outlet type completed
[ 2023-07-22 19:27:23,342 ] 113 root - INFO - Completed data transformation for Train Data
[ 2023-07-22 19:27:23,342 ] 118 root - INFO - Started data transformation for Test Data
[ 2023-07-22 19:27:23,342 ] 119 root - INFO - Started reading the test data
[ 2023-07-22 19:27:23,374 ] 122 root - INFO - Reading the test data completed
[ 2023-07-22 19:27:23,374 ] 129 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-22 19:27:23,405 ] 138 root - INFO - Completed filling the null values
[ 2023-07-22 19:27:23,405 ] 140 root - INFO - Started filling null values of Outlet size
[ 2023-07-22 19:27:23,405 ] 143 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-22 19:27:23,405 ] 148 root - INFO - Started replacing the values of Item fat content
[ 2023-07-22 19:27:23,405 ] 154 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-22 19:27:23,405 ] 160 root - INFO - Applying label encoding to Item type and Outlet identifier
[ 2023-07-22 19:27:23,420 ] 165 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:23,420 ] 165 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:23,420 ] 176 root - INFO - Started Label encoding to Item fat content
[ 2023-07-22 19:27:23,420 ] 179 root - INFO - Label encoding to Item fat content completed
[ 2023-07-22 19:27:23,420 ] 184 root - INFO - Started Label encoding to outlet size
[ 2023-07-22 19:27:23,436 ] 187 root - INFO - Label encoding to outlet size completed
[ 2023-07-22 19:27:23,436 ] 192 root - INFO - Started Label encoding to outlet location type
[ 2023-07-22 19:27:23,436 ] 195 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-22 19:27:23,436 ] 200 root - INFO - Started Label encoding to outlet type
[ 2023-07-22 19:27:23,659 ] 203 root - INFO - Label encoding to outlet type completed
[ 2023-07-22 19:27:23,660 ] 208 root - INFO - Completed data transformation for Test Data
[ 2023-07-22 19:27:45,039 ] 12 root - INFO - Pipeline started
[ 2023-07-22 19:27:45,039 ] 16 root - INFO - Connecting to a Database
[ 2023-07-22 19:27:46,338 ] 24 root - INFO - Successfully connected
[ 2023-07-22 19:27:46,338 ] 33 root - INFO - Reading the Train data from the database
[ 2023-07-22 19:27:47,235 ] 38 root - INFO - Reading the Train data successful
[ 2023-07-22 19:27:47,238 ] 47 root - INFO - Reading the test data from the database
[ 2023-07-22 19:27:47,546 ] 52 root - INFO - Reading the test data successful
[ 2023-07-22 19:27:47,546 ] 22 root - INFO - Started data transformation for Train Data
[ 2023-07-22 19:27:47,546 ] 24 root - INFO - Started reading the train data
[ 2023-07-22 19:27:47,609 ] 27 root - INFO - Reading the train data completed
[ 2023-07-22 19:27:47,609 ] 34 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-22 19:27:47,640 ] 43 root - INFO - Completed filling the null values
[ 2023-07-22 19:27:47,640 ] 45 root - INFO - Started filling null values of Outlet size
[ 2023-07-22 19:27:47,640 ] 48 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-22 19:27:47,640 ] 53 root - INFO - Started replacing the values of Item fat content
[ 2023-07-22 19:27:47,640 ] 59 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-22 19:27:47,640 ] 65 root - INFO - Applying label encoding to Item type and Outlet identifier
[ 2023-07-22 19:27:47,640 ] 70 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:47,656 ] 70 root - INFO - Applying label encoding to Item type and Outlet identifier completed
[ 2023-07-22 19:27:47,656 ] 81 root - INFO - Started Label encoding to Item fat content
