Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,0,0.016047301,4,249.8092,7,1999,1.0,0,1,3735.138
5.92,1,0.019278216,14,48.2692,3,2009,1.0,2,2,443.4228
17.5,0,0.016760075,10,141.618,7,1999,1.0,0,1,2097.27
19.2,1,0.0,6,182.095,0,1998,,2,0,732.38
8.93,0,0.0,9,53.8614,1,1987,2.0,2,1,994.7052
10.395,1,0.0,0,51.4008,3,2009,1.0,2,2,556.6088
13.65,1,0.012741089,13,57.6588,1,1987,2.0,2,1,343.5528
16.2,1,0.016687114,5,96.9726,5,2002,,1,1,1076.5986
19.2,1,0.09444959,5,187.8214,2,2007,,1,1,4710.535
11.8,0,0.0,6,45.5402,7,1999,1.0,0,1,1516.0266
18.5,1,0.045463773,4,144.1102,6,1997,0.0,0,1,2187.153
15.1,1,0.1000135,6,145.4786,7,1999,1.0,0,1,1589.2646
17.6,1,0.047257328,13,119.6782,6,1997,0.0,0,1,2145.2076
16.35,0,0.0680243,6,196.4426,1,1987,2.0,2,1,1977.426
9.0,1,0.069088961,2,56.3614,6,1997,0.0,0,1,1547.3192
11.8,0,0.008596051,8,115.3492,3,2009,1.0,2,2,1621.8888
9.0,1,0.069196376,2,54.3614,7,1999,1.0,0,1,718.3982
13.35,0,0.10249212,4,230.5352,4,2004,0.0,1,1,2748.4224
18.85,1,0.138190277,13,250.8724,1,1987,2.0,2,1,3775.086
14.6,0,0.025698134,9,196.5084,4,2004,0.0,1,1,1587.2672
13.85,1,0.025896485,5,165.021,6,1997,0.0,0,1,4078.025
13.0,0,0.099887103,9,45.906,2,2007,,1,1,838.908
7.645,1,0.066693437,13,42.3112,4,2004,0.0,1,1,1065.28
11.65,0,0.019356132,7,39.1164,1,1987,2.0,2,1,308.9312
5.925,1,0.161466534,4,45.5086,0,1998,,2,0,178.4344
19.25,0,0.170348551,4,55.7956,0,1998,,2,0,163.7868
18.6,0,0.080829372,8,96.4436,3,2009,1.0,2,2,2741.7644
18.7,0,0.0,13,256.6672,3,2009,1.0,2,2,3068.0064
17.85,0,0.0,1,93.1436,5,2002,,1,1,2174.5028
17.5,0,0.097904029,14,174.8738,6,1997,0.0,0,1,2085.2856
10.0,0,0.089291137,8,146.7102,7,1999,1.0,0,1,3791.0652
8.85,1,0.113123893,14,122.5388,3,2009,1.0,2,2,1609.9044
13.35,0,0.102511504,4,230.6352,6,1997,0.0,0,1,3435.528
9.8,0,0.02681843,10,126.002,1,1987,2.0,2,1,2150.534
13.6,0,0.117818348,13,192.9136,7,1999,1.0,0,1,2527.3768
21.35,0,0.069102831,3,259.9278,3,2009,1.0,2,2,6768.5228
12.15,1,0.042277867,3,126.5046,1,1987,2.0,2,1,373.5138
6.42,0,0.089498926,4,178.1002,0,1998,,2,0,358.2004
19.6,0,0.0,8,153.3024,5,2002,,1,1,2428.8384
10.0,0,0.025879577,3,265.2226,5,2002,,1,1,5815.0972
15.85,1,0.121632721,0,60.622,6,1997,0.0,0,1,2576.646
7.39,0,0.067779712,8,143.8812,6,1997,0.0,0,1,3134.5864
10.195,0,0.159803853,5,141.5154,1,1987,2.0,2,1,850.8924
9.895,1,0.028696932,3,117.0492,1,1987,2.0,2,1,810.9444
10.895,0,0.065041581,6,196.3794,2,2007,,1,1,3121.2704
12.15,0,0.028760013,9,151.4708,2,2007,,1,1,4815.0656
7.905,0,0.010053105,13,249.0408,3,2009,1.0,2,2,6258.52
9.195,0,0.048157338,9,106.1622,5,2002,,1,1,2117.244
8.365,0,0.071958197,7,38.0506,7,1999,1.0,0,1,796.9626
15.1,0,0.173481304,13,194.511,6,1997,0.0,0,1,4910.275
10.0,0,0.0,6,246.9144,3,2009,1.0,2,2,3185.1872
7.97,1,0.040071131,10,87.3514,5,2002,,1,1,1062.6168
17.7,0,0.195068226,13,185.4266,0,1998,,2,0,184.4266
19.35,0,0.033082215,10,172.5738,4,2004,0.0,1,1,4865.6664
13.65,1,0.078946455,4,186.024,5,2002,,1,1,1118.544
17.6,0,0.041700756,14,164.8526,5,2002,,1,1,2302.3364
8.645,0,0.143422643,8,95.841,6,1997,0.0,0,1,2027.361
15.6,1,0.105296072,13,170.1764,6,1997,0.0,0,1,3435.528
15.85,1,0.121531501,0,59.222,1,1987,2.0,2,1,599.22
18.25,0,0.0,15,164.7526,5,2002,,1,1,4604.6728
7.855,0,0.011324862,3,189.6188,2,2007,,1,1,2285.0256
7.825,0,0.186357148,9,254.3698,7,1999,1.0,0,1,5580.7356
8.39,1,0.024205661,5,114.0176,6,1997,0.0,0,1,2290.352
12.85,0,0.033230816,13,172.3422,7,1999,1.0,0,1,1207.0954
19.0,0,0.112556507,5,104.9622,2,2007,,1,1,1587.933
5.905,0,0.0,3,222.5456,5,2002,,1,1,5305.0944
7.76,0,0.059352241,13,101.87,6,1997,0.0,0,1,1697.79
11.8,1,0.014087057,5,180.3344,6,1997,0.0,0,1,1427.4752
16.75,0,0.045230944,13,187.9556,3,2009,1.0,2,2,4693.89
15.5,1,0.12639886,6,177.0028,2,2007,,1,1,2479.4392
6.055,0,0.025403898,6,160.992,4,2004,0.0,1,1,2716.464
6.305,1,0.123115764,13,95.6436,6,1997,0.0,0,1,661.8052
20.85,0,0.039624006,10,117.2808,7,1999,1.0,0,1,1523.3504
20.75,0,0.040421193,6,122.173,0,1998,,2,0,369.519
8.895,0,0.105274111,4,39.9138,7,1999,1.0,0,1,690.4346
19.6,0,0.033970195,14,55.1614,5,2002,,1,1,1381.535
19.7,0,0.053212652,6,57.893,4,2004,0.0,1,1,622.523
9.8,0,0.024378706,8,114.5492,4,2004,0.0,1,1,1274.3412
12.15,0,0.131383762,5,246.046,7,1999,1.0,0,1,1231.73
8.75,1,0.07461309,6,187.4556,4,2004,0.0,1,1,3755.112
8.75,1,0.074627201,6,187.8556,6,1997,0.0,0,1,1314.2892
13.3,0,0.063695084,5,151.0708,5,2002,,1,1,1805.6496
8.31,1,0.115857223,13,179.1028,7,1999,1.0,0,1,3896.2616
16.75,1,0.024832806,14,38.7822,1,1987,2.0,2,1,667.7974
19.75,0,0.034027909,13,212.0902,3,2009,1.0,2,2,3185.853
17.1,1,0.0467696,3,141.1838,1,1987,2.0,2,1,2247.7408
10.5,1,0.116576702,0,163.121,1,1987,2.0,2,1,1794.331
6.635,1,0.0,0,121.3098,5,2002,,1,1,2530.7058
14.15,0,0.035913805,14,41.4138,1,1987,2.0,2,1,812.276
13.3,0,0.079806266,4,232.53,6,1997,0.0,0,1,699.09
8.89,0,0.005505481,5,102.4016,2,2007,,1,1,2732.4432
9.1,1,0.0,1,173.2054,5,2002,,1,1,3151.8972
7.5,0,0.032677678,5,239.0906,7,1999,1.0,0,1,5942.265
16.85,1,0.160760054,5,192.4478,2,2007,,1,1,4843.695
7.485,0,0.06911065,13,109.0228,4,2004,0.0,1,1,2542.0244
11.6,0,0.041177505,14,140.3154,2,2007,,1,1,2552.6772
11.65,0,0.040081193,13,227.0694,3,2009,1.0,2,2,1141.847
13.0,0,0.035307322,9,47.5034,2,2007,,1,1,680.4476
12.65,0,0.063017847,14,159.0578,5,2002,,1,1,2085.9514
20.25,1,0.171938781,3,92.512,0,1998,,2,0,186.424
8.6,1,0.040197932,3,190.153,4,2004,0.0,1,1,3036.048
12.6,0,0.049058014,1,62.7194,2,2007,,1,1,866.8716
17.7,0,0.01161096,5,95.041,4,2004,0.0,1,1,868.869
14.15,0,0.183507295,14,82.4276,6,1997,0.0,0,1,1137.1864
19.25,0,0.102349519,4,52.7956,2,2007,,1,1,928.1252
8.88,0,0.086708987,7,151.7682,1,1987,2.0,2,1,762.341
20.5,0,0.032835147,9,40.2822,5,2002,,1,1,707.0796
13.5,0,0.07266912,9,160.292,6,1997,0.0,0,1,1438.128
8.89,0,0.009163216,5,101.7016,0,1998,,2,0,101.2016
7.855,0,0.011307038,3,188.5188,3,2009,1.0,2,2,952.094
7.235,0,0.076855628,9,116.0492,6,1997,0.0,0,1,1969.4364
6.92,0,0.038532062,4,60.5852,5,2002,,1,1,1314.2892
9.3,0,0.043209581,6,90.8172,2,2007,,1,1,535.3032
18.5,0,0.056816465,11,132.1284,0,1998,,2,0,263.6568
8.02,0,0.019866705,9,154.5972,4,2004,0.0,1,1,1402.1748
9.195,0,0.048331717,9,105.1622,2,2007,,1,1,1693.7952
12.8,0,0.091221855,11,105.5938,5,2002,,1,1,2143.876
16.6,0,0.027622076,9,177.6344,7,1999,1.0,0,1,2676.516
14.0,1,0.0,5,53.064,4,2004,0.0,1,1,905.488
18.6,0,0.039355947,5,246.3802,7,1999,1.0,0,1,7370.406
16.0,0,0.060836524,15,226.8404,4,2004,0.0,1,1,6301.1312
17.6,0,0.082316506,8,160.692,4,2004,0.0,1,1,1597.92
21.25,0,0.155350299,13,178.237,4,2004,0.0,1,1,529.311
7.235,0,0.076841095,9,117.5492,4,2004,0.0,1,1,1969.4364
14.6,0,0.151419185,14,50.3692,2,2007,,1,1,1034.6532
13.85,1,0.026001976,5,161.521,3,2009,1.0,2,2,1794.331
13.65,1,0.073209447,5,197.6426,3,2009,1.0,2,2,2768.3964
7.365,0,0.042560252,6,226.172,6,1997,0.0,0,1,3169.208
18.35,0,0.014081156,9,223.5746,3,2009,1.0,2,2,3589.9936
5.465,1,0.0,0,132.5626,3,2009,1.0,2,2,262.3252
18.6,0,0.152918384,2,99.8358,2,2007,,1,1,1910.1802
13.85,0,0.030969274,14,140.9154,2,2007,,1,1,1701.7848
14.0,1,0.060376776,5,154.5656,1,1987,2.0,2,1,2471.4496
14.0,1,0.04192285,13,54.764,1,1987,2.0,2,1,1331.6
5.905,0,0.045838211,3,222.5456,3,2009,1.0,2,2,3315.684
7.27,0,0.071077939,14,114.2518,6,1997,0.0,0,1,2618.5914
6.155,1,0.094659871,10,214.556,6,1997,0.0,0,1,2769.728
19.5,1,0.077608838,14,233.4958,2,2007,,1,1,5375.0034
15.2,0,0.021327477,3,216.8824,2,2007,,1,1,2838.9712
12.15,1,0.042485444,3,125.0046,3,2009,1.0,2,2,1743.0644
12.6,0,0.0489808,1,61.9194,3,2009,1.0,2,2,619.194
14.5,0,0.019471688,11,164.821,4,2004,0.0,1,1,2120.573
16.6,0,0.122918852,6,173.0738,2,2007,,1,1,3823.0236
11.8,1,0.057373797,10,151.4366,1,1987,2.0,2,1,1360.2294
13.1,1,0.044155597,6,178.8318,1,1987,2.0,2,1,3969.4996
17.7,0,0.291865402,6,115.1834,0,1998,,2,0,345.5502
17.85,0,0.0,1,196.5794,0,1998,,2,0,585.2382
12.3,1,0.064750025,15,92.6804,5,2002,,1,1,1010.6844
11.8,0,0.098312421,8,81.4618,0,1998,,2,0,161.1236
11.1,0,0.176573035,0,157.4604,5,2002,,1,1,3010.7476
11.3,0,0.007294652,10,198.1426,5,2002,,1,1,988.713
5.75,1,0.075107656,4,112.8176,1,1987,2.0,2,1,1374.2112
11.35,1,0.045165796,13,100.0016,3,2009,1.0,2,2,1012.016
14.0,0,0.028907832,8,130.431,7,1999,1.0,0,1,778.986
19.75,1,0.018059621,5,179.766,5,2002,,1,1,2336.958
6.525,0,0.090436094,9,85.0882,7,1999,1.0,0,1,2233.0932
10.3,0,0.146399712,10,103.9648,7,1999,1.0,0,1,1661.8368
5.78,1,0.074264356,13,264.7568,7,1999,1.0,0,1,4745.8224
11.85,1,0.050186726,6,164.1526,5,2002,,1,1,3124.5994
16.35,0,0.020631654,6,50.1324,3,2009,1.0,2,2,467.3916
10.5,0,0.041395445,6,37.6164,6,1997,0.0,0,1,540.6296
19.0,1,0.097313129,5,48.0718,6,1997,0.0,0,1,992.7078
14.6,0,0.059582996,11,238.8538,7,1999,1.0,0,1,6008.845
18.75,0,0.052146456,8,104.628,5,2002,,1,1,745.696
5.26,1,0.041764487,0,161.8868,4,2004,0.0,1,1,3275.736
18.25,0,0.054344186,13,140.2154,5,2002,,1,1,1701.7848
15.1,0,0.052339069,10,242.7512,6,1997,0.0,0,1,4119.9704
15.5,1,0.042464962,0,81.5934,0,1998,,2,0,327.5736
13.65,0,0.065732883,5,45.7402,7,1999,1.0,0,1,780.9834
16.1,0,0.023625114,14,189.3846,5,2002,,1,1,3630.6074
12.85,0,0.165694219,5,39.7164,0,1998,,2,0,231.6984
9.5,0,0.041878397,14,32.99,4,2004,0.0,1,1,133.16
13.8,0,0.058091482,4,245.1802,4,2004,0.0,1,1,5650.6446
5.78,1,0.0,13,263.7568,2,2007,,1,1,2636.568
19.7,0,0.026903714,9,96.0726,5,2002,,1,1,1272.3438
14.65,0,0.0,9,161.5552,0,1998,,2,0,324.9104
6.67,1,0.150554711,13,130.0626,0,1998,,2,0,131.1626
6.11,1,0.0,6,131.2968,0,1998,,2,0,260.9936
13.65,1,0.134975628,5,260.0936,0,1998,,2,0,260.9936
17.2,0,0.15616879,10,160.6578,1,1987,2.0,2,1,3690.5294
6.32,0,0.0,10,40.2822,4,2004,0.0,1,1,1139.1838
4.88,1,0.133700752,0,52.9298,7,1999,1.0,0,1,1995.4026
5.425,1,0.115119905,0,88.3514,2,2007,,1,1,1416.8224
15.85,1,0.110030997,5,37.2506,6,1997,0.0,0,1,265.6542
7.5,0,0.051038045,3,121.7072,2,2007,,1,1,3552.7088
12.65,0,0.062837968,14,161.5578,1,1987,2.0,2,1,2406.867
20.75,0,0.024129332,6,124.173,1,1987,2.0,2,1,2956.152
9.0,0,0.0,3,79.7644,4,2004,0.0,1,1,1649.8524
14.1,0,0.126035694,6,86.4198,5,2002,,1,1,1133.8574
7.55,0,0.027164679,3,152.334,4,2004,0.0,1,1,2603.278
13.0,0,0.099325278,9,45.406,6,1997,0.0,0,1,605.878
12.3,1,0.064565202,15,92.9804,1,1987,2.0,2,1,1929.4884
17.25,0,0.113748685,9,251.3724,5,2002,,1,1,6795.1548
15.85,0,0.020603511,9,42.7112,2,2007,,1,1,639.168
18.85,0,0.052044976,8,192.1846,4,2004,0.0,1,1,3248.4382
16.35,1,0.062764429,6,227.6062,2,2007,,1,1,7222.5984
14.1,0,0.087977262,4,229.0668,4,2004,0.0,1,1,3225.1352
7.905,0,0.010010425,13,249.0408,4,2004,0.0,1,1,3755.112
12.0,0,0.033946163,3,179.3976,1,1987,2.0,2,1,3440.8544
12.15,1,0.058414678,6,163.4552,4,2004,0.0,1,1,974.7312
10.1,0,0.027106459,10,75.367,7,1999,1.0,0,1,535.969
17.5,0,0.027022883,5,262.491,2,2007,,1,1,5259.82
17.1,0,0.128937661,6,112.3886,3,2009,1.0,2,2,1779.0176
7.785,0,0.088846306,6,61.451,7,1999,1.0,0,1,759.012
11.8,1,0.09357779,13,125.9704,1,1987,2.0,2,1,1877.556
13.15,1,0.165694678,6,171.8764,5,2002,,1,1,3779.0808
8.5,0,0.098438394,3,51.1324,2,2007,,1,1,259.662
8.645,0,0.143303291,8,96.341,1,1987,2.0,2,1,193.082
17.6,1,0.076276208,10,110.9202,5,2002,,1,1,1687.803
9.1,0,0.175103435,0,127.5362,2,2007,,1,1,4655.9394
12.8,1,0.023511371,10,225.9404,1,1987,2.0,2,1,4950.8888
7.63,0,0.06105276,14,95.4436,4,2004,0.0,1,1,1418.154
9.285,1,0.049559042,5,246.4144,2,2007,,1,1,1225.072
13.6,1,0.119418124,4,231.03,5,2002,,1,1,5359.69
8.895,0,0.072545601,2,176.237,5,2002,,1,1,1764.37
